cust_id,gender,marrital,age,home_owner,num_cont,tot_bill,tot_call,tot_bal,fortune,tot_bytes,tot_air,num_out,google_bytes,google_air,yahoo_bytes,yahoo_air
c000033,Female,divorced,47,1,1,191.0567003,56,5565.05,LMI,1133.18,3202.31,116,158.89,751.84,186.68,712.36
c000034,Female,single,41,1,2,130.6550655,54,5134.14,Affluent,1062.51,2976.97,234,322.23,976.28,270.39,879.97
c000035,Female,married,47,1,2,159.8106357,57,4708.76,Affluent,2021.45,3912.08,92,539.38,1219.78,70.57,652.73
c000036,Female,divorced,36,0,1,148.7836536,52,5947.8,Mass,1165.42,2534.54,163,268.43,943.48,381.11,712
c000037,Female,single,62,0,1,153.5632111,45,5114.61,Affluent,901.07,3064.45,248,164.96,1110.16,311.42,638
c000038,Female,divorced,39,0,2,140.0902278,61,4551.14,Mass,1516.88,2485.66,242,224.5,939.65,153.26,745.73
c000039,Female,married,44,0,1,163.2669674,58,4482.95,LMI,357.48,2602.04,181,249.52,1183.46,322.16,870.24
c000040,Female,married,39,0,1,148.2220816,50,4986.13,LMI,447.82,2689.32,221,207.93,1081.61,128.51,915.16
c000041,Male,married,31,1,1,138.3642759,78,4898.62,LMI,1300.05,3105.78,185,326.81,1105.55,205.49,855.07
c000042,Female,divorced,43,1,1,121.7886009,15,4565.88,LMI,943.14,3495.83,310,140.18,1110.88,284.9,782.14
c000043,Female,married,38,1,2,153.1516357,61,4914.18,LMI,1213.12,2820.1,147,481.27,1028.1,94.07,708.88
c000044,Male,divorced,35,0,1,107.2291664,32,4283.25,Affluent,1040.01,2249.78,342,430.02,768.74,232.92,778.06
c000045,Male,single,26,0,2,173.1864645,61,4641.97,Affluent,954.84,2805.93,187,283.67,1356.5,225.49,738.77
c000046,Female,married,48,1,2,137.6605977,50,4632.67,Mass,528.79,2846.63,96,477.58,729.89,418.79,674.7
c000047,Female,married,40,1,3,134.1608628,60,5529.71,Mass,1209.59,3271.37,236,358.63,1192.08,42.4,680.97
c000048,Male,single,25,1,1,108.5785726,56,4895.76,LMI,1091.28,2946.61,125,321.22,1165.7,279.49,717.36
c000049,Male,divorced,35,0,1,151.2749797,67,4582.99,Affluent,1290.67,2731.95,118,367.56,803.07,250.35,779.84
c000050,Female,divorced,21,0,2,126.2730707,38,5562.25,LMI,1249.27,2635.76,163,299.37,1267.13,107.76,694.43
c000051,Male,married,35,0,2,174.2820503,36,5721.36,LMI,728.76,3131.12,122,161.01,1211.34,198.22,770.36
c000052,Female,single,38,0,2,186.2847997,49,5155.47,LMI,1056.14,2836.51,176,315.78,898.02,201.45,802.12
c000053,Male,single,35,1,2,163.9406993,54,5432.36,Affluent,608.55,2734.34,269,298.38,969.53,212.72,817.24
c000054,Male,divorced,59,0,1,145.5472444,43,4760.33,Mass,1464.44,2642.91,181,427.63,1466.67,105.97,729.11
c000055,Male,married,53,1,2,191.7100817,49,4564.46,LMI,1314.76,2896.21,397,257.53,1123.32,99.28,1006.55
c000056,Female,divorced,38,0,1,132.2607059,66,4700.81,Affluent,1194.49,3694.28,259,441.5,1170.01,314.18,741.89
c000057,Female,single,40,1,2,144.7870608,40,4813.33,Affluent,1517.65,3849.41,160,310.81,843.94,239,575.32
c000058,Male,single,63,1,1,181.4031017,26,5093.75,Affluent,979.3,3362.29,139,486.4,1134.25,297.93,693.65
c000059,Female,divorced,45,0,1,152.0917462,72,4868.39,Affluent,1137.84,3420.74,288,225.06,1019.42,98.71,787.85
c000060,Male,single,22,0,1,147.1066227,55,5777.38,LMI,513.93,2505.39,150,366.8,730.26,182.42,820.28
c000061,Male,divorced,39,0,2,161.6561825,36,5237.78,Mass,867.45,2732.31,130,370.38,1245.38,125,713.6
c000062,Male,married,31,0,1,154.0865585,46,5132.61,Affluent,1684.85,3118.83,208,286.6,965.95,197.46,731.45
c000063,Female,divorced,51,0,1,146.1128715,34,6013.47,Mass,856.31,2113.93,245,350.05,817.64,207.65,719
c000064,Male,single,24,1,1,141.726534,53,5663.32,Affluent,853.05,3862.5,235,275.73,1065.94,134.85,680.52
c000065,Male,divorced,34,0,1,108.7921138,66,4631.7,Mass,1797.57,2775.59,350,305.48,1177.73,223.73,888.1
c000066,Female,married,37,0,2,128.4189341,58,4787.84,LMI,935.49,3006.13,161,299.44,1127.46,194.43,729.7
c000067,Female,single,41,0,1,128.6255626,53,4849.82,LMI,1985.02,3001.67,351,239.06,706.08,303.6,1012.05
c000068,Female,married,24,0,1,196.8026387,32,5201.01,LMI,908.68,3086.18,161,200.31,790.4,144.98,663.04
c000069,Male,single,26,1,1,161.3613569,91,5374.2,Affluent,1072.09,3295.48,39,312.11,1129.73,171.86,797.18
c000070,Male,married,41,0,1,194.5229716,35,4545.5,Mass,1031.55,3683.96,25,188.99,856.25,331.09,1020.53
c000071,Female,divorced,41,1,2,158.7742614,19,5070.18,Mass,890.67,2863.23,219,343.22,702.61,235.72,754.66
c000072,Male,married,39,1,1,96.92247697,27,4020.08,Affluent,1125.1,3807.07,299,255.74,1228.71,258.25,668.45
c000073,Female,single,38,1,2,142.0726895,38,5521.49,Mass,906.54,2932.13,185,268.21,928.98,276.21,844.51
c000074,Male,divorced,41,0,1,142.1547397,23,4866.71,LMI,1787.15,3442.98,278,297.77,1288.54,197.25,883.3
c000075,Female,divorced,34,0,2,119.2107206,37,5211.36,Affluent,825.65,2769.26,248,425.54,1013.81,207.33,845.14
c000076,Male,married,28,1,1,187.110186,89,4982.66,LMI,405.92,3603.73,125,366.24,1228.97,212.59,894.46
c000077,Male,divorced,41,0,2,131.9995307,49,5770.59,Mass,1764.25,2472.62,196,260.49,1094.8,166.44,774.84
c000078,Male,divorced,43,1,2,145.5715358,20,4180.14,LMI,566.83,3903.14,372,319.96,1015,131.21,873.71
c000079,Female,married,46,1,1,132.4170935,94,5329.56,LMI,1437.61,2970.33,310,331.03,964.71,240.82,807.38
c000080,Female,married,34,1,2,131.7941012,64,5320.63,LMI,540.35,3129.95,308,200.63,1027.2,388.34,907.7
c000081,Male,single,27,0,2,156.5128605,44,5407.58,LMI,1184.07,3500.01,66,228.38,832.59,270.74,973.54
c000082,Female,divorced,42,0,2,143.4115973,36,4679.62,Mass,1123.26,2913.87,192,248.42,924.77,152.94,653.21
c000083,Male,single,42,1,2,120.2356468,68,4488.79,Affluent,1034.07,3310.52,300,411.46,1150.52,253.3,851.94
c000084,Female,single,42,0,2,118.5634949,49,4391.48,LMI,715.56,2593.48,255,328.42,991.35,156.86,829.58
c000085,Male,divorced,32,0,1,133.8833983,71,4532.98,Affluent,419.06,3259.15,226,288.91,1224.23,323.52,731.57
c000086,Male,married,41,0,0,143.610613,42,5355.26,Affluent,430.21,2297.97,127,312.12,980.64,211.83,785.56
c000087,Female,divorced,53,0,2,129.8069321,4,4232.45,Affluent,1360.52,2848.24,256,320.28,669.72,231.04,587.77
c000088,Female,divorced,33,0,1,110.7910234,55,5078.28,Affluent,1679.7,2506.76,88,316.77,1165.78,32.36,801.85
c000089,Male,single,37,0,1,149.6838172,60,4792.57,Affluent,1427.49,3507.38,324,342.67,745.71,227.58,892.76
c000090,Female,married,35,1,2,152.4892157,36,4632.36,LMI,1054.39,3325.56,213,311.4,1191.89,410.89,713.42
c000091,Female,divorced,47,1,2,109.6076072,75,4595.7,LMI,1038.27,3061.75,335,200.39,744.08,252.12,917.16
c000092,Female,married,42,0,0,151.9154967,67,5273.26,Mass,826.8,3165.49,103,281.72,864.42,102.27,896.33
c000093,Male,single,40,0,2,146.2035536,37,5394.26,Mass,1272.92,3538.3,163,403.99,887.33,273.7,793.16
c000094,Female,divorced,28,0,1,171.7243253,42,5556.89,LMI,1301.14,3164.38,172,361.19,534.51,220.51,631.3
c000095,Female,married,33,0,2,119.0770728,75,4383.83,Mass,2001.18,2961.72,127,139.14,886.21,134.28,801
c000096,Male,single,59,0,2,98.894539,57,4901.3,Affluent,1019.49,3788.24,294,296.58,1263.47,129.68,897.5
c000097,Female,divorced,42,0,1,109.8640048,38,4707.44,Affluent,1199.53,2682.07,195,271.29,838.88,132.58,833.19
c000098,Male,single,35,1,2,144.0946722,56,4952.51,Mass,589.78,3305.06,325,296.94,1132.3,154.31,834.04
c000099,Male,single,29,1,1,124.5964365,28,4869.87,Mass,1361.9,2809.49,110,400.97,1013.34,206.11,853.27
c000100,Female,married,38,1,1,173.7174681,23,5402.47,Mass,1143.25,3512.6,122,487.25,1309.46,193.12,758.71
c000101,Female,divorced,28,1,1,172.2481361,35,5522.93,LMI,118.14,3717.88,202,97.6,1189.47,118.14,884.54
c000102,Female,single,30,0,1,157.3482141,43,5280,Mass,1408.36,3453.4,150,280.05,1179.36,94.65,550.22
c000103,Female,single,30,0,2,138.5626027,43,4223.15,LMI,269.89,3622.56,319,269.89,1073.51,64.75,913.95
c000104,Male,single,42,1,1,132.0535745,65,4726.3,Mass,652.14,2946.38,282,334.98,1006.99,320.49,755.7
c000105,Male,married,37,1,2,155.2661418,21,4085.04,Affluent,326.13,3553.06,158,260.37,1059.75,210.3,892.03
c000106,Male,married,41,0,1,138.0750835,67,4989.45,Affluent,1428.34,3199.76,308,261.81,1137.02,72.46,942.62
c000107,Female,single,32,1,2,180.6893991,25,4572.25,Affluent,1001.61,2685.34,156,235.48,1042.17,262.35,691.46
c000108,Male,single,46,1,1,159.7180119,55,5237.64,Affluent,1034.46,3519.67,113,379.29,1028.37,356.88,880.56
c000109,Male,single,44,1,2,147.3781937,35,4664.85,LMI,217.7,3445.6,123,56.1,1120.26,205.01,793.33
c000110,Female,single,25,0,2,181.0418151,39,5526.58,Mass,908.33,3882.06,166,437.79,1053.62,258.13,738.84
c000111,Male,single,46,0,2,138.4036759,50,4884.69,Affluent,608.65,3226.18,281,444.86,856.49,4.55,943.76
c000112,Male,divorced,38,0,1,158.2762504,69,4876.33,Mass,819.68,3492.44,191,332.95,1096.33,401.79,782.28
c000113,Female,married,48,1,1,138.64095,78,5815.01,Affluent,1470.81,2275.3,228,267.97,854.36,90.58,804.61
c000114,Female,divorced,42,0,1,171.2794754,15,5077.03,LMI,621.85,3475.29,333,508.99,1241.01,121.6,848.65
c000115,Female,married,22,0,2,140.2947281,74,4930.45,Mass,1271.1,1631.78,103,256.33,983.66,62.85,728.06
c000116,Female,married,30,0,1,129.4522896,33,4672.63,LMI,1668.05,2494.91,0,294.8,944.7,296.89,776.59
c000117,Male,divorced,41,1,2,134.914387,17,4891.51,Mass,702.97,2678.34,341,135.58,692.81,188.57,648.6
c000118,Female,married,22,0,1,168.7362654,55,4935.56,Affluent,1067.3,3933.79,121,412.36,1037.05,380.07,795.38
c000119,Female,married,50,0,1,127.1666031,70,4207.24,Affluent,1406.03,3385.09,242,464.6,1267.18,318.43,836.48
c000120,Female,married,48,0,1,116.7518005,42,5487.05,Affluent,225.83,3748.09,67,225.83,925.67,213.7,751.39
c000121,Male,single,47,1,1,141.5257711,60,5371.23,Mass,1113.14,3414.07,178,244.97,1166.63,96.8,797.83
c000122,Female,divorced,41,1,2,135.6743755,58,5028.09,Mass,857.29,3185.14,224,365.98,1212.72,257.05,850.92
c000123,Male,married,43,0,2,148.0585061,41,4763.56,Mass,807.99,3120.63,146,407.5,799.38,215.31,731.53
c000124,Female,divorced,32,1,0,128.6249204,65,5322.83,Mass,988.78,2440.4,277,416.89,1129.56,139.98,848.82
c000125,Female,single,46,1,2,163.0055562,56,4215.89,LMI,1149.1,2933.68,242,521.54,1108.73,237.76,976.11
c000126,Female,single,10,0,1,167.0637523,81,4742.66,Affluent,1183.88,3919.92,290,318.32,881.59,68.5,664.19
c000127,Female,married,61,0,1,163.6404429,68,5152.31,Affluent,388.02,2338.97,291,388.02,759.96,167.6,824.27
c000128,Male,single,34,0,2,133.8151891,49,4935,Affluent,1067.87,2416.57,248,322.06,1098,119.8,808.07
c000129,Female,married,31,0,1,168.8316643,46,4727.89,Affluent,550.98,2058.19,171,496.87,773.72,239.22,900.66
c000130,Male,single,47,0,2,149.4792899,85,5055.28,Affluent,603.69,2748.83,140,411.12,926.19,191.55,776.05
c000131,Male,divorced,45,0,1,167.2970433,94,4782.36,LMI,2059.19,3019.11,129,347.45,800.48,194.84,820.44
c000132,Male,married,26,1,1,160.7554837,42,4856.64,Mass,1421.71,3154.48,283,466.16,1128.1,141.24,634.45
c000133,Female,divorced,55,0,2,196.7523314,29,5062.55,Mass,1067.08,2889.41,0,366.29,792.31,331.73,793.32
c000134,Male,divorced,36,1,1,113.8422911,42,4779.87,Mass,388.41,2442.39,219,307.17,1010.21,170.77,872.73
c000135,Male,single,39,1,1,185.9854523,48,5637.14,Affluent,1268.94,2503.33,187,244.94,1222.03,128.14,707.51
c000136,Male,single,29,1,1,149.8289034,15,5988.96,Affluent,871.98,2471.71,193,173.77,1070.93,424.54,902.89
c000137,Female,single,39,1,2,121.2846927,51,4780.6,LMI,688.95,2666.81,463,121.82,803.52,13.24,820.27
c000138,Female,married,37,1,1,167.6490545,43,5198.36,Affluent,1855.28,4006.49,208,475.47,932.99,24.61,806.29
c000139,Male,married,22,0,1,163.632446,53,5643.07,Mass,1110.75,3588.12,88,279.29,891.05,157.4,614.42
c000140,Female,divorced,24,0,2,163.0185139,38,4355.63,Affluent,1638.83,3119.09,181,360.61,1301.21,263.4,704.34
c000141,Female,divorced,28,0,1,154.6509721,67,5304.6,LMI,1338.21,3620.52,191,229.62,1159.41,393.57,662.9
c000142,Female,divorced,26,0,1,135.3321819,73,5174.27,Affluent,1677.41,2794.98,307,362.94,872.89,386.72,732.7
c000143,Male,married,42,0,1,104.1194199,26,4505.84,Affluent,1746.98,2630.08,180,250.54,1061.27,243.69,917.05
c000144,Female,divorced,49,1,2,118.2898606,24,4629.34,Affluent,897.14,3258.78,136,468.18,980.46,180.68,923.09
c000145,Male,married,63,0,1,149.0252852,20,4464.03,Mass,793.15,1956.15,268,304.04,675.22,343.48,755.45
c000146,Female,single,44,1,1,145.2396598,32,4718.94,Mass,1063.2,2762.38,180,143.63,996.35,152.69,709.7
c000147,Female,married,36,1,1,166.4711749,35,4652.69,Mass,458.89,2367.85,0,277.95,937.32,184.35,839.96
c000148,Male,married,29,0,2,161.9747609,65,3679.52,Affluent,597.63,2341.71,150,174.49,912.51,185.61,666.47
c000149,Female,single,33,0,1,144.5056243,60,5939.51,LMI,995.13,3261.29,204,186.57,1054.23,127.22,784.66
c000150,Female,married,44,1,1,168.305848,71,6222.96,Affluent,958.83,3659.15,271,260.81,1257.02,109.15,663.59
c000151,Male,divorced,47,0,1,162.970349,56,4717.68,Affluent,2382.55,3348.24,209,349.57,1346.25,193.64,877.2
c000152,Male,divorced,35,1,2,149.4179361,36,5227.51,LMI,628.27,3181.85,268,279.55,874.85,231.33,715.78
c000153,Female,married,42,0,2,139.6416147,47,5726.94,LMI,401.84,1908.77,293,270.82,673.25,197.02,843.51
c000154,Female,divorced,51,0,1,176.6655748,77,5317.86,LMI,1572.06,2325.49,356,421.78,1157.73,223.19,880.53
c000155,Female,divorced,39,1,1,119.8625175,75,5802.06,Affluent,37.14,2901.88,206,37.14,984.69,37.14,910.41
c000156,Female,divorced,18,1,1,166.1243905,64,4913.99,Affluent,1551.84,3483.68,357,371.35,667.32,228.98,922.74
c000157,Female,single,43,1,2,132.3073983,44,5437.13,LMI,1136.98,3110.63,308,342.55,520.87,221.3,764.7
c000158,Female,married,39,0,0,162.4561709,82,6037.67,Affluent,1270.65,3314.54,149,269.62,1429.35,60.06,838.5
c000159,Female,married,36,1,1,140.1295561,44,5992.4,Mass,816.93,3090.6,156,480.03,1160.4,371.77,738.6
c000160,Male,married,34,0,1,122.3690852,41,4448.22,LMI,1531.13,1728.56,215,255.73,886.35,192.03,917.34
c000161,Male,divorced,29,0,1,145.3774215,28,4702.53,Affluent,264.98,2326.36,245,264.98,1030.16,188.76,748.02
c000162,Male,divorced,26,0,1,132.056814,63,5660.28,Mass,1887.19,3164.23,61,193.46,1231.63,181.73,831.67
c000163,Female,divorced,47,1,2,167.0242977,51,5251.9,LMI,580.76,3275.52,243,268.26,1364.63,96.83,701.16
c000164,Male,married,42,0,1,164.2926475,58,5061.24,LMI,107.42,3095.94,249,107.42,748.8,107.42,924.48
c000165,Female,single,49,0,2,171.023641,47,4254.19,Mass,912.06,2543.16,235,351.71,1234.84,288.43,812.21
c000166,Female,divorced,33,0,2,147.5564837,59,4292.52,LMI,1035.58,2635.99,257,409.92,1346.34,92.17,769.81
c000167,Female,single,36,1,1,140.3103404,67,4524.85,Mass,807.77,2722.19,152,349.76,1426.23,398.55,1022.67
c000168,Male,single,60,0,1,160.4429491,51,5788.59,LMI,1081.77,2884.2,222,170.54,957.12,172.66,570.87
c000169,Female,divorced,34,1,2,133.6110381,46,5202.44,LMI,1368.59,1962.9,250,412.47,778.96,108.75,666.19
c000170,Female,divorced,35,1,2,177.2997536,65,4675.51,Mass,313.31,3335.14,157,274.9,710.45,244.49,914.2
c000171,Male,married,52,1,1,132.649478,39,5109.73,Mass,1185.38,2564.74,80,108.11,1111.39,206.74,834.28
c000172,Female,single,54,1,2,121.0926046,57,4677.24,Affluent,1286.34,3805.76,399,263.05,992.05,320.65,933.91
c000173,Male,married,44,0,1,137.9712287,46,4915.09,Affluent,1147.81,3757.2,207,333.97,957.73,48.51,911.74
c000174,Male,married,47,0,2,140.4080794,15,5010.15,LMI,456.18,3270.76,132,423.07,957.16,225.34,932.19
c000175,Male,single,59,0,1,110.8710499,73,5089.07,Affluent,809.66,2731.35,87,325.18,1017.26,46.71,907.57
c000176,Male,married,39,0,0,153.152356,15,5974.38,Mass,1682.61,2523.16,20,266.6,509.15,68.84,983.71
c000177,Male,married,45,0,2,143.831568,12,5015.13,Mass,744.44,2715.2,250,148.86,1228.89,229.3,708.27
c000178,Female,single,39,1,2,127.8007362,62,5523.76,Mass,706.3,2569.16,155,124.05,794.65,283.85,715.11
c000179,Female,single,64,1,1,158.2206124,53,5257.39,Mass,846.05,2125.39,188,267.09,1175.64,229.21,807.4
c000180,Female,single,44,1,1,153.9919885,40,5617.98,LMI,746.91,3202.59,405,385.04,842.95,238.72,833.18
c000181,Male,divorced,35,0,1,155.3595523,64,5255.45,Mass,1588.51,3165.79,224,314.4,922.64,153.68,820.05
c000182,Female,single,32,1,2,173.6136618,51,5038.37,LMI,1992.51,2726.79,259,313.89,1228.41,320.53,1028.94
c000183,Female,married,37,0,1,132.2185799,57,5116.28,LMI,1418.43,3070.3,192,327.37,822.75,262.03,808.91
c000184,Female,married,20,1,2,123.8499529,67,4467.5,LMI,1058.18,3848.67,91,341.64,968.75,250.05,580.97
c000185,Male,divorced,36,0,1,149.8527581,5,4767.38,Affluent,1156.19,3148.88,281,242.08,783.67,348.75,802.33
c000186,Female,divorced,24,0,2,161.3997761,60,5518.64,Affluent,692.17,3375.31,217,213.05,846.4,175.57,775.11
c000187,Male,married,40,1,1,145.3737315,73,5414.68,Mass,916.33,3765.86,133,231.71,854.98,262.45,688.88
c000188,Male,divorced,37,0,2,169.0445802,70,5616.74,Mass,596.12,3915.25,106,240.84,1269.34,245.95,823.95
c000189,Female,single,47,1,2,139.9998499,14,4735.05,Mass,1450.45,4068.64,321,171.28,1161.71,194.03,821.61
c000190,Male,married,37,1,1,187.4828004,60,5794.36,LMI,1230.56,3594.2,81,380.74,676.54,245.65,768.99
c000191,Female,single,38,0,1,158.2540032,62,4752.57,Affluent,1292.37,3252.19,135,319.31,983.13,150.61,708.65
c000192,Female,married,52,0,1,180.2636743,59,5149.28,LMI,465.52,2513.66,256,270.43,903.48,251.3,756.88
c000193,Female,married,40,0,2,145.7810962,33,4814.81,LMI,1390.86,3794.7,352,232.49,1179.88,228.86,778.02
c000194,Female,divorced,31,0,1,151.1604063,58,4548.66,LMI,1085.37,3388.7,0,241.07,1021,209.69,759.6
c000195,Female,divorced,45,0,2,159.1133258,52,4790.57,Affluent,1181.46,3302.87,196,399.24,988.86,374.81,759.4
c000196,Male,married,50,1,1,167.6526941,40,4412.96,Mass,1303.36,3297.17,261,367.86,1154.57,44.27,795.34
c000197,Male,divorced,43,0,2,152.8386634,58,5701.49,Affluent,658.99,3396.23,53,501.57,892.05,292.59,858.34
c000198,Male,married,39,1,2,132.407594,39,4915.08,LMI,1061.94,2891.97,13,337.5,1158.06,131.41,997.62
c000199,Female,single,41,0,1,156.2083989,60,4741.41,Mass,1086.57,2541.87,145,268.32,1074.49,233.16,926.77
c000200,Male,divorced,40,0,2,151.8475614,43,5737.19,Mass,1366.54,3802.44,216,196.42,942.9,126.38,862.47
c000201,Male,married,54,0,1,142.1262598,67,5032.45,Affluent,1400.88,2662.69,164,154.67,909.51,249.75,815.9
c000202,Male,married,41,0,2,161.1449198,49,4431.32,Mass,131.04,2323.37,265,131.04,779.46,131.04,758
c000203,Male,divorced,39,1,1,159.6410043,57,5027.17,LMI,726.6,2915.33,224,222.78,1407.83,48.35,876.59
c000204,Male,single,41,1,2,153.7383311,61,5586.45,Affluent,1304.52,2408.26,200,452.42,1026.39,214.95,808.08
c000205,Male,single,49,1,2,141.910437,32,5624.6,Affluent,1074.39,2236.44,187,263.05,897.2,172.24,724.77
c000206,Female,single,27,0,2,133.324145,37,5064.19,Mass,851.76,3747.48,71,204.6,1391.43,218,893.47
c000207,Female,single,31,1,2,167.8576652,80,4690.83,Mass,1101.91,2840.21,127,216.5,1223.34,260.86,778.53
c000208,Male,married,25,1,2,127.9667162,16,4676.19,LMI,27.47,2853.77,268,27.47,972.82,27.47,697.86
c000209,Female,married,41,0,1,119.4523386,14,4137.33,LMI,159.08,2768.64,0,159.08,954.61,138.83,632.29
c000210,Female,married,33,0,2,130.8880522,70,3971.28,LMI,942.36,3414.14,130,386.98,998.87,212.81,723.28
c000211,Male,divorced,45,0,2,157.7139552,77,2709.74,Affluent,1160.42,2252.49,193,95.68,1492.53,115.08,945.01
c000212,Female,married,48,1,2,146.8617249,28,5261.21,LMI,1619.71,4035.46,354,425.96,1149.58,389.76,801.79
c000213,Female,single,28,0,2,125.2301452,74,4922.41,LMI,797.21,2955.67,173,292.8,842.37,353.77,853.11
c000214,Male,married,23,1,1,133.1313544,124,4749.91,Mass,1407.02,2881.64,246,184.53,874.99,93.06,762.09
c000215,Male,divorced,32,0,2,162.8806975,67,5078.27,Mass,1309.27,2578.71,64,398.07,1106.2,124.37,819.31
c000216,Female,divorced,35,0,1,166.5581155,70,3940.08,Mass,812.02,3695.42,278,295.14,1043.07,173.05,836.03
c000217,Female,divorced,15,0,1,146.0746868,5,4427.23,Affluent,851.09,3330.68,107,228.25,1117.72,119.84,764.14
c000218,Male,divorced,47,0,2,156.8429485,52,5215.3,Affluent,688.49,3866.02,268,30.78,823.05,337.98,656.56
c000219,Male,married,31,0,2,126.8108207,44,4346.21,Affluent,468.97,3793.14,100,196.34,922.72,75.52,783.7
c000220,Male,married,39,1,2,134.8281398,65,5345.61,Affluent,666,2870.19,269,272.14,840.01,189.36,729.5
c000221,Male,married,45,1,1,154.6156734,77,5266.22,Affluent,1042.51,2237.18,179,267.25,1090.35,269.2,788.82
c000222,Male,married,27,0,2,114.4422092,65,5394.81,LMI,1889.54,2557.05,164,416.65,878.39,147.12,710.2
c000223,Male,divorced,33,1,2,172.6458343,60,4573.19,LMI,748.45,2265.7,112,334.64,1019.37,64.63,783.25
c000224,Male,divorced,44,0,1,144.5922263,23,4327.08,Mass,660.87,3028.79,145,329.73,1363.85,248.11,926.01
c000225,Female,divorced,29,0,1,159.6092023,39,4084.04,Affluent,647.79,2709.81,132,287.27,1028.66,394.61,862.31
c000226,Male,married,38,1,1,152.8249183,68,4197.69,Mass,1447.25,3356.28,104,204.91,1315.72,220.89,803.34
